id,name,lat,lon,satellite_view mapbox,dominant_orchidee_pft,orchidee_frac,dominant_generic_pft,generic_pft_frac,confidence_flag,quality_flag_obs_model,soil_type,remarques,sources,dataset,year_fluxnet2007,year_fluxnet2015,year_plumber2,year_sifmip2,year_warmwinter2020,igbp (from orchidas site list),years_amf_base,,,years_amf_fluxnet
BE-Lon,Lonzee,50.551600,4.746200,N/A,PFT12,PFT12(1.00),CropsC3,CropsC3(1.00),A,A2,N/A,N/A,,"fluxnet2007, fluxnet2015, warmwinter2020",2004-2006,2004-2014,2005-2014,N/A,2004-2020,CRO,,,,
BE-Maa,Maasmechelen,50.980100,5.631900,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,infos site - à éviter (bruyère),https://meta.icos-cp.eu/resources/stations/ES_BE-Maa,warmwinter2020,N/A,N/A,N/A,N/A,2016-2019,N/A,,,,
BE-Vie,Vielsalm,50.304900,5.998100,N/A,PFT04,"PFT4(0.60), PFT6(0.40)",TrNeEv,"TrNeEv(0.60), TrBrDe(0.40)",B,A1,N/A,infos site,https://meta.icos-cp.eu/resources/stations/ES_BE-Vie & https://deims.org/c4c1c0ca-5a43-4d19-ab50-34dad0af44e8,"fluxnet2007, fluxnet2015, warmwinter2020",1996-2006,1996-2014,1997-2014,N/A,1996-2020,MF,,,,
BR-Sa3,Santarem-Km83-Logged Forest,-3.018000,-54.971400,N/A,PFT02,PFT2(1.00),TrBrEv,TrBrEv(1.00),A,B4,N/A,EBF,https://ameriflux.lbl.gov/sites/siteinfo/BR-Sa3 https://fluxnet.org/sites/siteinfo/BR-Sa3,"fluxnet2007, fluxnet2015",2000-2003,2000-2004,2001-2003,N/A,N/A,EBF,,,,
BW-Ghg,Ghanzi Grass Site,-21.510000,21.740000,N/A,PFT11,"PFT3(0.10), PFT11(0.75), PFT14(0.15)",NatGrC4,"NatGrC4(0.75), NatGrC3(0.15), TrBrDe(0.10)",C,D4,N/A,GRA,http://www.europe-fluxdata.eu/home/site-details?id=BW-GhG,fluxnet2007,2003-2003,N/A,N/A,N/A,N/A,SAV,,,,
BW-Ghm,Ghanzi Mixed Site,-21.200000,21.750000,N/A,PFT11,"PFT3(0.20), PFT11(0.60), PFT14(0.20)",NatGrC4,"NatGrC4(0.60), NatGrC3(0.20), TrBrDe(0.20)",C,D3,N/A,SAV,http://www.europe-fluxdata.eu/home/site-details?id=BW-GhM,fluxnet2007,2003-2003,N/A,N/A,N/A,N/A,WSA,,,,
BW-Ma1,Maun- Mopane Woodland,-19.915500,23.560500,N/A,PFT03,"PFT3(0.4),PFT10(0.2),PFT11(0.4)",NatGrC4,"NatGrC4(0.40), TrBrDe(0.40), NatGrC3(0.20)",C,B3,N/A,SAV,http://www.europe-fluxdata.eu/home/site-details?id=BW-Ma1,fluxnet2007,1999-2001,N/A,2000-2000,N/A,N/A,WSA,,,,
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),55.879600,-98.480800,N/A,PFT07,"PFT7(0.85), PFT15(0.15)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.15)",A,B2,N/A,ENF,https://ameriflux.lbl.gov/sites/siteinfo/CA-Man,"fluxnet2007, fluxnet2015",1994-2003,1994-2008,N/A,N/A,N/A,ENF,,,,
CA-Mer,Eastern Peatland- Mer Bleue,45.409400,-75.518600,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,eviter : Wetland,https://ameriflux.lbl.gov/sites/siteinfo/CA-Mer,fluxnet2007,1998-2005,N/A,N/A,N/A,N/A,WET,,,,
CA-NS1,UCI-1850 burn site,55.879200,-98.483900,N/A,PFT07,"PFT7(0.85), PFT15(0.15)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.15)",A,C3,N/A,ENF,https://ameriflux.lbl.gov/sites/siteinfo/CA-NS1,"fluxnet2007, fluxnet2015",2002-2005,2001-2005,2003-2003,N/A,N/A,ENF,,,,
